NOME_PRODUTO,CLASSE_TERAPEUTICA,PRINCIPIO_ATIVO
A SAÚDE DA MULHER,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA +  EXTRATO FLUIDO DE PASSIFLORA ALATA +  SALICILATO DE SÓDIO +  TINTURA AGONIADA PLUMÉRIA
AAS,ANALGESICOS NAO NARCOTICOS,ACIDO ACETILSALICILICO
AAS PROTECT,ANTIAGREGANTE PLAQUETARIO,ÁCIDO ACETILSALICÍLICO
ABBA,AGENTES ANTINEOPLÁSICOS,ACETATO DE ABIRATERONA
ABC,ANTIMICOTICOS PARA USO TOPICO,CLOTRIMAZOL
ABCLER ABNAT,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,BETAÍNA +  CITRATO DE COLINA +  DL-METIONINA +  LEVOMETIONINA
ABERALGINA,ANALGESICOS NAO NARCOTICOS,DIPIRONA
ABLOK,BETABLOQUEADORES SIMPLES,ATENOLOL
ABLOK PLUS,ANTI-HIPERTENSIVOS,ATENOLOL +  CLORTALIDONA
ABRETIA,ANTIDEPRESSIVOS,CLORIDRATO DE DULOXETINA
ABRIFIT,EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES,HEDERA HELIX L.
ABRILAR,EXPECTORANTES + FITOTERAPICO SIMPLES,HEDERA HELIX L.
ACALMILFITO,ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO,CRATAEGUS RHIPIDOPHYLLA GAND. +  PASSIFLORA INCARNATA L. +  VALERIANA OFFICINALIS L.
ACCUVIT,VITAMINAS E SUPLEMENTOS MINERAIS,ACETATO DE RACEALFATOCOFEROL +  BETACAROTENO +  OXIDO CUPRICO +  RIBOFLAVINA +  SELENATO DE SÓDIO +  ÁCIDO ASCÓRBICO +  ÓXIDO CÚPRICO +  ÓXIDO DE ZINCO
ACEBROFILINA,BRONCODILATADORES,ACEBROFILINA
ACECLOFENACO,ANTINFLAMATORIOS,ACECLOFENACO
ACEFLOR,ANTINFLAMATORIOS,ACECLOFENACO
ACERATUM,MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA,PERÓXIDO DE URÉIA
ACERTALIX,ANTI-HIPERTENSIVOS,INDAPAMIDA +  PERINDOPRIL ARGININA
ACERTANLO,ANTI-HIPERTENSIVOS,BESILATO DE ANLODIPINO +  PERINDOPRIL ARGININA
ACERTIL,ANTI-HIPERTENSIVOS,PERINDOPRIL ARGININA
ACESYL,VITAMINAS E SUPLEMENTOS MINERAIS,CLORIDRATO DE TIAMINA
ACETATO DE ABIRATERONA,ANTINEOPLASICO,ACETATO DE ABIRATERONA
ACETATO DE CIPROTERONA + ETINILESTRADIOL,HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS,ACETATO DE CIPROTERONA
ACETATO DE CIPROTERONA+ETINILESTRADIOL,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,ACETATO DE CIPROTERONA +  ETINILESTRADIOL
ACETATO DE CIPROTERONA+ETINILESTRADIOL,ANDROGENOS SIMPLES,ACETATO DE CIPROTERONA +  ETINILESTRADIOL
ACETATO DE CLORMADINONA + ETINILESTRADIOL,ANTICONCEPCIONAIS,ACETATO DE CLORMADINONA +  ETINILESTRADIOL
ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA,CERATOLITICOS E CERATOPLASTICOS,ACETATO DE CLOSTEBOL +  SULFATO DE NEOMICINA
ACETATO DE DEXAMETASONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,ACETATO DE DEXAMETASONA
ACETATO DE HIDROCORTISONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,ACETATO DE HIDROCORTISONA
ACETATO DE PREDNISOLONA,GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES,ACETATO DE PREDNISOLONA
ACETATO DE SÓDIO,ELETROLITOS SIMPLES,ACETATO DE SÓDIO TRI-HIDRATADO 
ACETAZONA,GLICOCORTICOIDES SISTEMICOS,ACETATO DE DEXAMETASONA +  DEXAMETASONA
ACETICIL,ANALGESICOS,ÁCIDO ACETILSALICÍLICO
ACETILCISTEINA,EXPECTORANTES BALSAMICOS E MUCOLITICO,ACETILCISTEÍNA
ACETILCISTEÍNA,EXPECTORANTES BALSAMICOS E MUCOLITICO,ACETILCISTEÍNA
ACETONIDA DE TRIANCINOLONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,ACETONIDA DE TRIANCINOLONA
ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,GRAMICIDINA +  NISTATINA +  SULFATO DE NEOMICINA +  TRIANCINOLONA ACETONIDA
ACEVITON,VITAMINAS,ÁCIDO ASCÓRBICO
ACEZO,SUPRESSORES DA REABSORCAO OSSEA,ÁCIDO ZOLEDRÔNICO MONOIDRATADO
ACFOL,ANTIANEMICOS,ÁCIDO FÓLICO
ACHEFLAN,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES,CORDIA VERBENACEA DC.
